,FBS Team,2018,2017,2016,2015,2014,2013,2012,2011
0,Air Force,1,1,1,1,1,1,1,1
1,Akron,1,1,1,1,1,1,0,1
2,Alabama,1,1,1,1,1,1,1,1
3,Appalachian State,1,1,1,1,1,0,1,1
4,Arizona State,0,1,1,1,1,1,0,1
5,Arizona,0,1,1,1,1,1,0,1
6,Arkansas,0,1,1,1,1,0,0,1
7,Arkansas State,1,1,1,1,0,0,0,0
8,Army,1,1,1,1,0,1,1,1
9,Auburn,1,1,1,1,1,0,1,1
10,Ball State,1,1,0,1,1,1,1,0
11,Baylor,1,0,0,1,1,1,1,1
12,Boise State,1,1,1,1,0,1,1,1
13,Boston College,1,1,1,1,1,0,1,1
14,Bowling Green,1,1,0,1,0,1,1,1
15,Buffalo,1,1,1,0,1,1,1,1
16,BYU,1,1,0,1,1,1,1,1
17,California,1,0,1,1,1,0,1,1
18,UCF,0,1,0,1,1,1,1,1
19,Central Michigan,1,1,1,0,1,1,1,1
20,Charlotte,1,1,1,1,1,1,1,0
21,Cincinnati,1,0,1,1,1,0,1,1
22,Clemson,1,1,1,1,1,1,1,1
23,Coastal Carolina,1,1,1,1,1,1,0,1
24,Colorado,1,1,1,1,1,0,1,0
25,Colorado State,1,1,1,0,1,1,0,1
26,Connecticut,1,0,1,1,0,1,1,0
27,Duke,1,1,1,1,1,1,1,1
28,East Carolina,1,1,0,1,1,1,1,1
29,Eastern Michigan,1,1,1,1,0,1,1,1
30,Florida Atlantic,1,0,1,1,0,1,0,1
31,Florida,0,1,1,0,1,1,1,0
32,FIU,1,0,1,1,1,0,1,1
33,Florida State,0,1,1,1,1,1,1,1
34,Fresno State,1,0,1,1,1,1,0,1
35,Georgia,1,1,0,1,1,1,1,1
36,Georgia Southern,0,1,0,1,0,1,1,1
37,Georgia State,1,0,1,1,1,0,1,1
38,Georgia Tech,1,1,1,1,1,1,1,1
39,Hawaii,1,1,0,1,1,1,0,1
40,Houston,1,0,1,0,1,1,0,1
41,Illinois,1,1,0,0,1,1,0,1
42,Indiana,1,0,1,1,1,1,1,0
43,Iowa,1,1,1,1,1,1,1,1
44,Iowa State,1,1,0,1,1,1,1,1
45,Kansas,1,1,1,0,1,1,0,1
46,Kansas State,1,1,1,1,1,1,1,1
47,Kent State,0,1,1,1,1,0,1,0
48,Kentucky,1,1,1,1,1,0,1,1
49,Liberty,1,1,1,1,1,1,0,1
50,Louisiana Tech,1,1,1,1,1,0,1,1
51,Louisiana Lafayette,0,1,1,1,1,1,1,0
52,Louisiana-Monroe,1,1,0,1,1,1,1,1
53,Louisville,1,1,1,1,0,1,1,1
54,LSU,1,0,1,1,1,1,1,1
55,Marshall,1,1,1,1,1,1,1,1
56,Maryland,1,1,0,1,1,1,1,0
57,Massachusetts,1,1,1,1,0,1,0,1
58,Memphis,1,1,0,1,1,1,0,1
59,Miami FL,1,1,0,1,1,1,1,0
60,Miami OH,1,1,1,1,0,1,1,0
61,Michigan State,1,1,1,1,1,1,1,1
62,Michigan,1,1,1,0,1,1,1,0
63,Middle Tennessee,1,1,1,1,1,1,1,1
64,Minnesota,1,0,0,1,1,1,1,0
65,Mississippi State,0,1,1,1,1,1,1,1
66,Missouri,1,1,0,1,1,1,1,1
67,Navy,1,1,1,1,1,1,1,1
68,NC State,1,1,1,1,1,0,1,1
69,Nebraska,0,1,1,0,1,1,1,1
70,Nevada,1,0,1,1,1,0,1,1
71,New Mexico,1,1,1,1,1,1,0,0
72,New Mexico State,1,1,1,1,1,0,1,1
73,NIU,1,1,1,1,1,0,1,0
74,North Carolina,1,1,1,1,1,1,0,0
75,North Texas,1,1,0,1,1,1,1,0
76,Northwestern,1,1,1,1,1,1,1,1
77,Notre Dame,1,1,1,1,1,1,1,1
78,Ohio,1,1,1,1,1,1,1,1
79,Ohio State,1,1,1,1,1,1,0,0
80,Oklahoma,1,0,1,1,1,1,1,1
81,Oklahoma State,1,1,1,1,1,1,1,1
82,Old Dominion,1,1,1,1,1,1,1,1
83,Ole Miss,1,0,1,1,1,1,0,1
84,Oregon,0,0,1,1,1,0,1,1
85,Oregon State,0,1,1,0,1,1,1,1
86,Penn State,1,1,1,1,0,1,0,1
87,Pittsburgh,1,1,1,0,1,1,0,0
88,Purdue,1,0,1,1,1,0,1,1
89,Rice,0,1,1,1,1,1,1,1
90,Rutgers,1,1,0,1,1,1,0,1
91,San Diego State,1,1,1,1,1,1,1,0
92,San Jose State,1,0,1,1,1,0,1,1
93,SMU,0,1,1,0,1,1,1,1
94,South Alabama,0,1,1,1,1,1,1,1
95,South Carolina,1,1,0,1,1,1,1,1
96,South Florida,1,0,1,1,1,0,1,1
97,Southern Miss,1,1,0,1,1,0,0,1
98,Stanford,1,1,1,1,1,1,1,0
99,Syracuse,1,1,0,1,1,0,1,1
100,TCU,1,1,1,1,1,1,1,1
101,Temple,1,0,1,1,1,0,1,0
102,Tennessee,0,1,1,1,1,0,1,1
103,Texas A&M,0,1,1,1,1,1,0,1
104,Texas,1,0,1,1,0,1,1,1
105,Texas State,1,1,0,1,1,1,1,0
106,Texas Tech,1,1,1,1,1,0,1,1
107,Toledo,1,1,0,1,1,1,0,1
108,Troy,1,1,1,0,1,1,1,1
109,Tulane,1,1,0,1,1,1,0,1
110,Tulsa,1,1,1,0,1,1,1,0
111,UAB,1,0,1,0,0,1,0,1
112,UCLA,0,1,1,1,1,1,0,1
113,UNLV,1,1,1,0,1,1,1,1
114,USC,1,1,0,1,0,0,1,1
115,Utah State,1,1,1,1,1,0,1,1
116,Utah,1,1,1,1,1,1,1,1
117,UTEP,0,1,1,1,1,0,1,1
118,UTSA,1,1,0,1,1,1,1,0
119,Vanderbilt,1,1,1,1,0,1,1,0
120,Virginia,1,1,0,1,1,1,1,1
121,Virginia Tech,1,1,0,1,1,1,1,1
122,Wake Forest,1,1,1,1,0,1,1,1
123,Washington,1,1,1,1,0,1,1,1
124,Washington State,1,1,1,1,1,1,0,1
125,West Virginia,1,1,1,1,1,1,1,0
126,Western Kentucky,1,0,1,1,0,0,1,1
127,Western Michigan,1,0,1,1,1,0,1,1
128,Wisconsin,1,1,1,0,1,0,1,1
129,Wyoming,1,1,1,1,0,1,1,1
